country,region
Albania,SoutheastEurope
Argentina,SouthernCone
Australia,AustraliaandNewZealand
Austria,Austria
Belgium,Belgium
Bolivia,AndesRegion
Bosnia and Herz.,SoutheastEurope
Brazil,Brazil
Bulgaria,EasternEurope
Belarus,EasternEurope
Canada,Canada
Chile,SouthernCone
China,China
Croatia,SoutheastEurope
Cuba,Cuba
Czech Rep.,EasternEurope
Denmark,Denmark
Ecuador,AndesRegion
Estonia,EasternEurope
Finland,Scandinavia
Denmark,Scandinavia
France,France
Georgia,Georgia
Germany,Germany
Greece,Greece
Greenland,Greenland
Hungary,EasternEurope
Iceland,Iceland
India,India
Iran,Iran
Iraq,Iraq
Ireland,UnitedKingdomandIreland
Israel,Israel
Italy,Italy
Japan,Japan
Latvia,EasternEurope
Lithuania,EasternEurope
Mexico,Mexico
Moldova,EasternEurope
Montenegro,SoutheastEurope
Netherlands,TheNetherlands
New Zealand,AustraliaandNewZealand
Norway,Scandinavia
Pakistan,Pakistan
Paraguay,SouthernCone
Peru,AndesRegion
Philippines,Philippines
Poland,EasternEurope
Portugal,Portugal
Romania,EasternEurope
Russia,Russia
Saudi Arabia,SaudiArabia
Serbia,SoutheastEurope
Singapore,Singapore
Slovakia,EasternEurope
Slovenia,SoutheastEurope
South Africa,SouthAfrica
Spain,Spain
Sweden,Scandinavia
Switzerland,Switzerland
Turkey,Turkey
Ukraine,EasternEurope
Macedonia,SoutheastEurope
Egypt,Egypt
United Kingdom,UnitedKingdomandIreland
United States,UnitedStates
Uruguay,SouthernCone
Venezuela,AndesRegion
Colombia,AndesRegion
Kosovo,SoutheastEurope
Algeria,NorthernAfrica
Libya,NorthernAfrica
Morocco,NorthernAfrica
Sudan,NorthernAfrica
S. Sudan,NorthernAfrica
Tunisia,NorthernAfrica
Western Sahara,NorthernAfrica
Benin,WesternAfrica
Burkina Faso,WesternAfrica
Cape Verde,WesternAfrica
Gambia,WesternAfrica
Ghana,WesternAfrica
Guinea,WesternAfrica
Guinea-Bissau,WesternAfrica
Côte d'Ivoire,WesternAfrica
Liberia,WesternAfrica
Mali,WesternAfrica
Mauritania,WesternAfrica
Niger,WesternAfrica
Nigeria,WesternAfrica
Senegal,WesternAfrica
Sierra Leone,WesternAfrica
Togo,WesternAfrica
Angola,MiddleAfrica
Cameroon,MiddleAfrica
Central African Rep.,MiddleAfrica
Chad,MiddleAfrica
Congo,MiddleAfrica
Dem. Rep. Congo,MiddleAfrica
Equatorial Guinea,MiddleAfrica
Gabon,MiddleAfrica
São Tomé and Principe,MiddleAfrica
Tanzania,EasternAfrica
Kenya,EasternAfrica
Uganda,EasternAfrica
Rwanda,EasternAfrica
Burundi,EasternAfrica
Djibouti,EasternAfrica
Eritrea,EasternAfrica
Ethiopia,EasternAfrica
Somalia,EasternAfrica
Mozambique,EasternAfrica
Madagascar,EasternAfrica
Malawi,EasternAfrica
Zambia,EasternAfrica
Zimbabwe,EasternAfrica
South Sudan,EasternAfrica
Cambodia,SoutheastAsia
Lao PDR,SoutheastAsia
Myanmar,SoutheastAsia
Thailand,SoutheastAsia
Vietnam,SoutheastAsia
Brunei,SoutheastAsia
Malaysia,SoutheastAsia
East Timor,SoutheastAsia
Indonesia,SoutheastAsia
Philippines,SoutheastAsia
Singapore,SoutheastAsia
Kyrgyzstan,CentralAsia
Uzbekistan,CentralAsia
Kazakhstan,CentralAsia
Tajikistan,CentralAsia
Turkmenistan,CentralAsia
Belize,CentralAmerica
Costa Rica,CentralAmerica
El Salvador,CentralAmerica
Guatemala,CentralAmerica
Honduras,CentralAmerica
Nicaragua,CentralAmerica
Panama,CentralAmerica
Guyana,FrenchGuianaGuyanaandSuriname
Suriname,FrenchGuianaGuyanaandSuriname
Georgia,Caucasus
Armenia,Caucasus
Azerbaijan,Caucasus
Korea,Korea
Bangladesh,SouthAsia
Bhutan,SouthAsia
India,SouthAsia
Maldives,SouthAsia
Nepal,SouthAsia
Pakistan,SouthAsia
Sri Lanka,SouthAsia