p2,Description,Lot_and_Timestamp,p1,p6,p7,Size,p5,p8,Price_in_CHF,Large_Img_URL,p10,p11
,"Bulky central medallion on a white and pink ground, patterned with stylised plant motifs, green border with tendrils.",Lot 1401* - A176 Carpets  - Wednesday 23 March 2016 05.00 PM,AFGHAN.,,,250x293 cm.,,,CHF 400 / 600,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/93824/93824_l_1.jpg,€ 330 / 500, 
,"Black mihrab with green spandrels, the entire carpet is patterned with stylised flowers in delicate pastel colours, light green border, slight wear.",Lot 1402* - A176 Carpets  - Wednesday 23 March 2016 05.00 PM,AGRA PRAYER old.,,,135x186 cm.,,,CHF 2 000 / 2 500,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/421333/421333_l_1.jpg,€ 1 670 / 2 080, 
,"Red ground with floral medallions in delicate pastel colours, black border with trailing flowers, slight wear in some areas.",Lot 1403* - A176 Carpets  - Wednesday 23 March 2016 05.00 PM,BACHTIAR antique.,,,110x417 cm.,,,CHF 1 500 / 2 000,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/421340/421340_l_1.jpg,€ 1 250 / 1 670, 
,"Rust-coloured ground, geometrically patterned in white and black, slight signs of wear.",Lot 1404 - A176 Carpets  - Wednesday 23 March 2016 05.00 PM,BESHIR old.,,,110x195 cm.,,,CHF 300 / 400,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/93449/93449_l_1.jpg,€ 250 / 330, 
,"Red central field with a central medallion, patterned with trailing flowers, palmettes and roses, dark blue edging, signs of wear in some areas.",Lot 1405* - A176 Carpets  - Wednesday 23 March 2016 05.00 PM,BIDJAR old.,,,270x360 cm.,,,CHF 1 000 / 1 500,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/93540/93540_l_1.jpg,€ 830 / 1 250, 
,"Dark blue central field, patterned with stylised plant motifs, triple-stepped border in red and light blue, in good condition.",Lot 1406* - A176 Carpets  - Wednesday 23 March 2016 05.00 PM,BIDJAR antique.,,,115x160 cm.,,,CHF 2 000 / 2 500,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/421332/421332_l_1.jpg,€ 1 670 / 2 080, 
,"Red and blue central field with a black and pink central medallion, patterned with stylised plant motifs, pink border with trailing flowers, slight wear.",Lot 1407* - A176 Carpets  - Wednesday 23 March 2016 05.00 PM,BIDJAR antique.,,,135x195 cm.,,,CHF 2 000 / 2 500,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/421338/421338_l_1.jpg,€ 1 670 / 2 080, 
,"Red mihrab with blue spandrels, blue border with trailing flowers, slight wear.",Lot 1408* - A176 Carpets  - Wednesday 23 March 2016 05.00 PM,BRUSSA SILK PRAYER antique.,,,125x170 cm.,,,CHF 1 500 / 2 000,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/421099/421099_l_1.jpg,€ 1 250 / 1 670, 
,"Beige central field with a central medallion and corner motifs in shades of blue, in good condition.",Lot 1409 - A176 Carpets  - Wednesday 23 March 2016 05.00 PM,CHINA antique.,,,355x276 cm.,,,CHF 4 000 / 6 000,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/65931/65931_l_1.jpg,€ 3 330 / 5 000, 
,"Light mihrab patterned with plants and birds, red border, slight wear.",Lot 1410 - A176 Carpets  - Wednesday 23 March 2016 05.00 PM,"CHINA SILK, PRAYER.",,,90x150 cm.,,,CHF 500 / 800,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/72717/72717_l_1.jpg,€ 420 / 670, 
,"Pink mihrab with grey spandrels, patterned with colourful flower motifs, white border.",Lot 1411 - A176 Carpets  - Wednesday 23 March 2016 05.00 PM,CHINA SILK PRAYER.,,,93x155 cm.,,,CHF 500 / 700,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/418330/418330_l_1.jpg,€ 420 / 580, 
,"Blue central field with a green central medallion, geometrically patterned, triple-stepped border with stylised tendrils, in good condition.",Lot 1412* - A176 Carpets  - Wednesday 23 March 2016 05.00 PM,DERBEND old.,,,115x170 cm.,,,CHF 400 / 600,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/421339/421339_l_1.jpg,€ 330 / 500, 